item,extract
http://www.wikidata.org/entity/Q10872444,"畦ヶ丸（あぜがまる）は丹沢山地西部、神奈川県足柄上郡山北町にある標高1,293mの山である。"
http://www.wikidata.org/entity/Q10872479,高麗山（こまやま）は神奈川県の平塚市と大磯町に跨る山。
http://www.wikidata.org/entity/Q10872489,高取山（たかとりやま）は、丹沢山地の東部にある標高約706mの山。
http://www.wikidata.org/entity/Q10872808,棒ノ折山（ぼうのおれやま）は、東京都西多摩郡奥多摩町と埼玉県飯能市との境にある標高969mの山である。
http://www.wikidata.org/entity/Q10872888,高水山（たかみずさん）は東京都青梅市にある標高759メートル（m）の山である。
http://www.wikidata.org/entity/Q108738619,蛇円山（じゃえんざん）は、広島県福山市駅家町にある標高545.5メートルの山。
http://www.wikidata.org/entity/Q108883972,妙見山（みょうけんざん）は、兵庫県多可郡多可町にある標高693 mの山である。
http://www.wikidata.org/entity/Q109358087,新九郎山（しんくろうやま）は、徳島県那賀郡那賀町にある山である。
http://www.wikidata.org/entity/Q109358612,三倉鼻（みくらはな）とは、秋田県三種町と八郎潟町にまたがる山である。
http://www.wikidata.org/entity/Q109359840,遍照寺山（へんじょうじさん）は、京都府京都市右京区にある標高231メートルの山である。
http://www.wikidata.org/entity/Q109359896,二葉山（ふたばやま）は、広島県広島市東区光が丘に所在する山。
http://www.wikidata.org/entity/Q109361276,桃の丸（もものまる）は、徳島県那賀郡那賀町にある山である。
http://www.wikidata.org/entity/Q109362494,"東川岳（ひがしかわだけ 北緯35度43分32秒 東経137度48分20秒）は長野県木曽郡大桑村と同県駒ヶ根市の境界にある標高2,671mの山。"
http://www.wikidata.org/entity/Q109363901,"菊石山（きくいしやま）は、飛騨山脈（北アルプス）後立山連峰の北部にある標高1,209.8mの山。"
http://www.wikidata.org/entity/Q109364266,峰畑山（みねばたけやま）は、徳島県三好市と愛媛県四国中央市にある山である。
http://www.wikidata.org/entity/Q109364945,岡本山（おかもとやま）は、徳島県海部郡海陽町にある山である。
http://www.wikidata.org/entity/Q109364955,鍛冶屋谷山（かじやだにやま）は、徳島県海部郡牟岐町にある山である。
http://www.wikidata.org/entity/Q10936618,大潟富士（おおがたふじ）は、秋田県南秋田郡大潟村中央部にある人工の山。
http://www.wikidata.org/entity/Q109367202,月ヶ原山（つきがはらやま）は、石川県金沢市と富山県南砺市にまたがる山。
http://www.wikidata.org/entity/Q109367433,ぼら山（ぼらやま）は、徳島県鳴門市里浦町里浦にある山である。
http://www.wikidata.org/entity/Q109369288,御朱印谷山（ごしゅいんだにやま）は、徳島県那賀郡那賀町にある山である。
http://www.wikidata.org/entity/Q109370496,江鳶山（えとんびやま）は、北海道斜里郡清里町の中央部に位置する山。
http://www.wikidata.org/entity/Q10940452,天王山（てんのうざん）は、京都府乙訓郡大山崎町の山。
http://www.wikidata.org/entity/Q10942052,夷守岳（ひなもりだけ）は、九州南部に広がる霧島山の北東部に位置する火山である。
http://www.wikidata.org/entity/Q10942951,如意ヶ嶽（にょいがたけ、にょいがだけ）は日本の京都、東山に存在する山。
http://www.wikidata.org/entity/Q109438394,火打山（ひうちやま）は、徳島県東みよし町、三好市、つるぎ町の間に位置する山である。
http://www.wikidata.org/entity/Q109453311,白津山（しらつやま）とは、秋田県北秋田市と能代市にまたがる山である。
http://www.wikidata.org/entity/Q10950373,宮之浦岳（みやのうらだけ）は、鹿児島県の屋久島中央部の山である。
http://www.wikidata.org/entity/Q109594799,朝里岳（あさりだけ）は、北海道札幌市南区定山渓・小樽市・赤井川村の境界が交わったところにある山。
http://www.wikidata.org/entity/Q109594966,七滝山（ななたきやま）は、秋田県仙北郡美郷町にある山で、標高は776mである。
http://www.wikidata.org/entity/Q109595899,百々路山（どどろやま）は、徳島県海部郡牟岐町にある山である。
http://www.wikidata.org/entity/Q109596639,後白髪山（うしろしらひげやま）は、宮城県仙台市青葉区の西部に位置する標高1422mの山である。
http://www.wikidata.org/entity/Q109597227,西又山（にしまたやま）は、徳島県那賀郡那賀町と高知県馬路村及び安芸市の堺にある山である。
http://www.wikidata.org/entity/Q109597645,湯村山（ゆむらやま）は、山梨県甲府市にあり、奥秩父山地の南端部に位置する山である。
http://www.wikidata.org/entity/Q109597901,稼勢山（かせやま）は、徳島県勝浦町にある山である。
http://www.wikidata.org/entity/Q109597905,古鷹山（ふるたかやま）は広島県江田島市江田島町（江田島）にある山。
http://www.wikidata.org/entity/Q109598234,"化雲岳（かうんだけ）は、北海道上川郡美瑛町と上川郡新得町にまたがる標高1,954.5 mの山。"
http://www.wikidata.org/entity/Q109598506,十和田山（とわだやま）とは、青森県十和田市にある山である。
http://www.wikidata.org/entity/Q109599055,稲横山（いなよこやま）は、徳島県海部郡海陽町にある山である。
http://www.wikidata.org/entity/Q109599058,北峯（きたみね）は、徳島県海部郡海陽町にある山である。
http://www.wikidata.org/entity/Q109599068,西ヶ峯（にしがみね）は、徳島県海部郡海陽町にある山である。
http://www.wikidata.org/entity/Q109599071,高磯山（たかいそやま）は、徳島県那賀郡那賀町に位置する山である。
http://www.wikidata.org/entity/Q109603002,勘場山（かんばやま）は、徳島県那賀郡那賀町にある山である。
http://www.wikidata.org/entity/Q109605184,砥石権現（といしごんげん）は、徳島県名西郡神山町と那賀郡那賀町の境界にある山である。
http://www.wikidata.org/entity/Q10980884,尾張富士（おわりふじ）は、愛知県犬山市南部に位置する標高275mの山である。
http://www.wikidata.org/entity/Q109939866,御殿山（ごてんやま）は、千葉県南房総市にある山。
http://www.wikidata.org/entity/Q110584231,甘南備山（かんなびやま）は、京都府京田辺市薪甘南備山にある独立峰である。
http://www.wikidata.org/entity/Q110584701,サンドイッチ山は大阪府枚方市穂谷にある標高313mの山である。
http://www.wikidata.org/entity/Q11065854,弁天山（べんてんやま）は、徳島県徳島市方上町にある山。
http://www.wikidata.org/entity/Q110800617,八石山（やついしやま）は、徳島県三好市に位置する山である。
http://www.wikidata.org/entity/Q1109030,谷川岳（たにがわだけ）は、群馬県利根郡みなかみ町と新潟県南魚沼郡湯沢町の県境（上越国境）にある山。
http://www.wikidata.org/entity/Q1109050,"剱岳（つるぎだけ）は、飛騨山脈（北アルプス）北部の立山連峰にある標高2,999 mの山。"
http://www.wikidata.org/entity/Q110992401,道樹山（どうじゅさん/どうずさん）は、愛知県春日井市と岐阜県多治見市の県境にある山。
http://www.wikidata.org/entity/Q111148920,天狗山（てんぐやま）は、山梨県甲府市にあり、奥秩父山地の南端部に位置する山である。
http://www.wikidata.org/entity/Q11126130,比治山（ひじやま）は、広島県広島市南区に位置する標高71.1mの小高い丘である。
http://www.wikidata.org/entity/Q11129955,"水晶岳（すいしょうだけ）は、富山市南東部に位置する標高2,986mの飛騨山脈（北アルプス）の山。"
http://www.wikidata.org/entity/Q111361196,"ワリモ岳（ワリモだけ）は、飛騨山脈中部にある、標高2,888mの山。"
http://www.wikidata.org/entity/Q111471978,鬼ヶ城山（おにがじょうやま）は広島県廿日市市と山口県岩国市に跨る山。
http://www.wikidata.org/entity/Q11151792,涌蓋山（湧蓋山、わいたざん、わいたさん）は、大分県玖珠郡九重町と熊本県阿蘇郡小国町にまたがる第四紀の火山。
http://www.wikidata.org/entity/Q111578699,鷹狩山（たかがりやま）は、長野県大町市の山。
http://www.wikidata.org/entity/Q11172243,城山（しろやま）は、神奈川県相模原市緑区にある山である。
http://www.wikidata.org/entity/Q111799483,兄弟山（おとどいやま）は、山口県山口市上宇野令（かみうのれい）に位置する山である。
http://www.wikidata.org/entity/Q111962625,物語山（ものがたりやま）は、群馬県甘楽郡下仁田町にある山。
http://www.wikidata.org/entity/Q112131429,硫黄山（いおうざん）は、大分県玖珠郡九重町の九重連山にある峰。
http://www.wikidata.org/entity/Q112135991,"茶ノ木平（ちゃノきだいら）とは、栃木県日光市中宮祠の標高1,600mの山である。"
http://www.wikidata.org/entity/Q112303399,聖通寺山（しょうつうじやま）は、香川県綾歌郡宇多津町と坂出市の境界に座する標高約120mの山で、三角点は標高118.3m地点にある。
http://www.wikidata.org/entity/Q112339073,妹背山（いもせやま）とは、奈良県中部の吉野郡吉野町上市の東方にある2つの山の総称。
http://www.wikidata.org/entity/Q11252071,蘇鉄山（そてつやま）は大阪府堺市堺区の大浜公園内にある山。
http://www.wikidata.org/entity/Q11261089,朳差岳（えぶりさしだけ）は、新潟県岩船郡関川村にある飯豊山地北部の山である。
http://www.wikidata.org/entity/Q11264317,からす山（からすやま）は、愛知県名古屋市名東区の北東部にある山である。
http://www.wikidata.org/entity/Q11264909,きのこ山（きのこやま）は、茨城県桜川市と同石岡市の境に位置する標高527.9mの山である。
http://www.wikidata.org/entity/Q11268047,一切経山（いっさいきょうざん）は、福島県福島市と猪苗代町との境にある山である。
http://www.wikidata.org/entity/Q11268796,しがきの丸（しがきのまる）は、徳島県那賀郡那賀町に位置する山である。
http://www.wikidata.org/entity/Q11271723,ちくさ高原（ちくさこうげん）は岡山県と鳥取県と兵庫県の県境、兵庫県宍粟市にある総合レクリエーション施設である。
http://www.wikidata.org/entity/Q11271767,ちち山（ちちやま）は、四国山地西部の石鎚山脈に属する山である。
http://www.wikidata.org/entity/Q11276691,ひるがの高原（ひるがのこうげん）は岐阜県郡上市高鷲町にある高原。
http://www.wikidata.org/entity/Q11283202,アサヨ峰（アサヨみね）は、赤石山脈の甲斐駒ヶ岳と鳳凰山とを結ぶ早川尾根上にある山である。
http://www.wikidata.org/entity/Q11284663,箱根山（はこねやま）は、東京都新宿区戸山二丁目にある、山手線内において一番標高が高い人造の山（築山）である。
http://www.wikidata.org/entity/Q11287261,"イワオヌプリは、北海道虻田郡倶知安町と磯谷郡蘭越町とにまたがる標高1,116 mの活火山である。"
http://www.wikidata.org/entity/Q11291907,"オコツナイ岳（オコツナイだけ）は、北海道島牧村にある狩場山地の標高1,170.4 mの山である。"
http://www.wikidata.org/entity/Q11292984,"オロフレ山（オロフレやま）は、北海道白老郡白老町と有珠郡壮瞥町とにまたがる標高1,230.8mの火山である。"
http://www.wikidata.org/entity/Q11294778,カムイヌプリは、北海道登別市にある標高750.1 mの山である。
http://www.wikidata.org/entity/Q11295182,"カルルス山（カルルスやま）とは、北海道有珠郡壮瞥町にある標高1,075.0mの山である。"
http://www.wikidata.org/entity/Q11302324,コノケ立（コノケだち）は、秋田県鹿角市にある山である。
http://www.wikidata.org/entity/Q11303752,ゴロゴロ岳（ゴロゴロだけ）は、兵庫県芦屋市と西宮市との境にある山である。
http://www.wikidata.org/entity/Q11312623,"スバリ岳（スバリだけ）は、飛騨山脈（北アルプス）北部の後立山連峰にある標高2,752 mの山。"
http://www.wikidata.org/entity/Q113135916,村積山（むらづみやま）は、愛知県岡崎市にある標高257.0メートルの山である。
http://www.wikidata.org/entity/Q11314873,"セーメーバンは、山梨県大月市にある標高1,006.2mの山である。"
http://www.wikidata.org/entity/Q11324041,ナメトコ山（ナメトコやま）は、岩手県花巻市の西方、岩手郡雫石町との境にある奥羽山脈に属する標高860mの山である。
http://www.wikidata.org/entity/Q11324348,"ニセイカウシュッペ山（ニセイカウシュッペやま）は、北海道上川郡上川町にある標高1,883 mの火山である。"
http://www.wikidata.org/entity/Q11324350,"ニセコアンヌプリは、北海道後志総合振興局かつニセコ積丹小樽海岸国定公園内にある標高1,308.2メートルの火山。"
http://www.wikidata.org/entity/Q11328468,"バン木ノ頭（ばんぎの あたま/かしら）は丹沢山地西部、神奈川県足柄上郡山北町と山梨県南都留郡道志村の境にある標高1,180mあまりの山である。"
http://www.wikidata.org/entity/Q11329427,多良岳（たらだけ）は、九州の山。
http://www.wikidata.org/entity/Q11334402,"ブナ沢ノ頭（ぶなさわのあたま）は丹沢山地西部、神奈川県足柄上郡山北町と山梨県南都留郡道志村の境に位置する標高1,229mの山である。"
http://www.wikidata.org/entity/Q11334403,"ブナ沢乗越（ブナさわのっこし）は、丹沢山地西部、神奈川県足柄上郡山北町と山梨県南都留郡道志村の境に位置する標高1,180 mあまりの峠（鞍部）である。"
http://www.wikidata.org/entity/Q11338093,"ホロホロ山（ホロホロやま）は、北海道伊達市大滝区と白老郡白老町にまたがる標高1,322.4 mの火山である。"
http://www.wikidata.org/entity/Q11339416,ポンポン山（ポンポンやま）は、京都府京都市西京区と大阪府高槻市の境界に位置する標高678.7mの山で、西京区及び高槻市の最高峰である。
http://www.wikidata.org/entity/Q11341877,"ミカゲ沢ノ頭（みかげさわの あたま/かしら）は、丹沢山地の丹沢主稜にある標高1,421mの山である。"
http://www.wikidata.org/entity/Q11342143,"ミズヒノ頭（みずひの あたま/かしら）は、丹沢山地東部の大山北尾根にある標高 1,050m 余りの山である。"
http://www.wikidata.org/entity/Q11343777,"メップ岳（メップだけ）は北海道今金町およびせたな町にまたがる狩場山地の標高1,147.4 mの山。"
http://www.wikidata.org/entity/Q11344357,モッチョム岳（モッチョムだけ）は、屋久島の南部にある花崗岩からなる山である。
http://www.wikidata.org/entity/Q11344648,"モロクボ沢ノ頭（もろくぼさわの あたま/かしら）は丹沢山地西部、神奈川県足柄上郡山北町と山梨県南都留郡道志村の境にある標高1,190mあまりの山である。"
http://www.wikidata.org/entity/Q11345090,ヤビツ峠（ヤビツとうげ）は、神奈川県道70号秦野清川線にある海抜761 mの峠である。
http://www.wikidata.org/entity/Q113504902,百松沢山（ひゃくまつざわやま）は北海道札幌市の中央区、西区、南区の境界点に位置する山。
http://www.wikidata.org/entity/Q113511318,盤の沢山（ばんのさわやま）は、北海道札幌市南区豊滝に所在する山。
http://www.wikidata.org/entity/Q11352306,一ノ森（いちのもり）は、徳島県美馬市と同県那賀郡那賀町の境界に位置する山。
http://www.wikidata.org/entity/Q11352372,一乗城山（いちじょうしろやま）は、福井県福井市にある山。
http://www.wikidata.org/entity/Q11352418,一位ヶ岳（いちいがだけ）は、山口県長門市と下関市の境界にある標高671.6mの山である。
http://www.wikidata.org/entity/Q11352625,一尺八寸山（みおうやま、みおやま）は、大分県中津市と日田市との境にある山である。
http://www.wikidata.org/entity/Q11352656,一徳防山（いっとくぼうさん、一徳坊山とも書く）は、大阪府河内長野市にある標高541mの山である。
http://www.wikidata.org/entity/Q11352727,一方高（いっぽうこう）は、秋田県鹿角市にある山である。
http://www.wikidata.org/entity/Q11352773,一本杉峠（いっぽんすぎとうげ）は、茨城県石岡市と同桜川市の境にある標高430mの峠。
http://www.wikidata.org/entity/Q11353008,一盃森（いっぱいもり）は、福島県福島市森合にある山である。
http://www.wikidata.org/entity/Q11353352,七ツ森（ななつもり）は、宮城県黒川郡大和町にある、7つの山の総称である。
http://www.wikidata.org/entity/Q11353365,"七ヶ岳（ななつがたけ、ななつがだけ）は、福島県南会津郡南会津町中央部にある標高1,635.8 mの山。"
http://www.wikidata.org/entity/Q11353404,"七倉山（ななくらやま）は、白山国立公園内の石川県白山市にある標高2,557mの山である。"
http://www.wikidata.org/entity/Q11353434,七国山（ななくにやま）は、東京都町田市山崎町にある標高128.5メートルの山である。
http://www.wikidata.org/entity/Q11353524,七座山（ななくらやま）は、秋田県能代市二ツ井町にある7つの山の総称である。
http://www.wikidata.org/entity/Q11353555,七時雨山（ななしぐれやま）は、岩手県の北西部に位置する山。
http://www.wikidata.org/entity/Q11353662,七種山（なぐさやま）は、兵庫県神崎郡福崎町にある標高683mの山である。
http://www.wikidata.org/entity/Q11353663,七種薬師（なぐさやくし）は、兵庫県姫路市と同県神崎郡福崎町の境界にある標高616.2mの山である。
http://www.wikidata.org/entity/Q11353732,"七面山（しちめんさん）は山梨県南巨摩郡にある1,989mの山。"
http://www.wikidata.org/entity/Q11353797,万太郎山（まんたろうやま）は、群馬県利根郡みなかみ町と新潟県南魚沼郡湯沢町にまたがる三国山脈に位置する山。
http://www.wikidata.org/entity/Q11353823,"万年山（はねやま）は、大分県日田市、玖珠郡玖珠町、九重町にまたがり、耶馬日田英彦山国定公園に含まれる標高1,140.3mの山である。"
http://www.wikidata.org/entity/Q11353957,丈競山（たけくらべやま）は、福井県坂井市にある山塊である。
http://www.wikidata.org/entity/Q11353973,"三つ峠（みつとうげ）は、山梨県都留市、西桂町、富士河口湖町の境界にある標高1,785 mの山である。"
http://www.wikidata.org/entity/Q11354038,三ツ石山（みついしさん）は岩手山から続く、裏岩手縦走路の上にある山である。
http://www.wikidata.org/entity/Q11354040,三ツ石山（みついしやま）は、徳島県鳴門市の大毛島にある山である。
http://www.wikidata.org/entity/Q11354045,"三ノ塔（さんのとう）は丹沢山地南東部、神奈川県秦野市にある標高1,204.8mの山である。"
http://www.wikidata.org/entity/Q11354051,三ノ岳（さんのだけ）は、秋田県鹿角市にある山である。
http://www.wikidata.org/entity/Q11354072,三ヶ根山（さんがねさん）は、愛知県額田郡幸田町、西尾市、蒲郡市の境界にある山である。
http://www.wikidata.org/entity/Q11354265,三井山（みいやま）は、岐阜県各務原市にある標高109mの独立した小さな山である。
http://www.wikidata.org/entity/Q11354408,三俣山（みまたやま）は、大分県竹田市と玖珠郡九重町の境界に位置する山であり、九重連山を形成する火山である。
http://www.wikidata.org/entity/Q11354418,"三傍示山（さんぼうじさん）は、四国の中央部に位置する標高1,157mの山である。"
http://www.wikidata.org/entity/Q11354490,三十三間山（さんじゅうさんげんざん）は、福井県三方上中郡若狭町と滋賀県高島市との境にある山塊である。
http://www.wikidata.org/entity/Q11354614,"三周ヶ岳（さんしゅうがたけ）は、岐阜県揖斐郡揖斐川町門入の越美山地西部の標高1,292 mの山である。"
http://www.wikidata.org/entity/Q11354728,三国山（みくにやま）は、大阪府和泉市・河内長野市と和歌山県伊都郡かつらぎ町にまたがる標高885.7 mの山。
http://www.wikidata.org/entity/Q11354729,"三国山（みくにやま）は、群馬県多野郡上野村・埼玉県秩父市・長野県南佐久郡川上村に跨る標高1,834mの山である。"
http://www.wikidata.org/entity/Q11354730,三国山（みくにやま）は丹沢山地の西端、神奈川県・山梨県・静岡県の境に位置する山である。
http://www.wikidata.org/entity/Q11354731,三国山（みくにやま）は、福井県三方郡美浜町、同県敦賀市および滋賀県高島市の山塊である。
http://www.wikidata.org/entity/Q11354732,三国山（みくにやま）は、群馬県利根郡みなかみ町と新潟県南魚沼郡湯沢町の間にある山。
http://www.wikidata.org/entity/Q11354733,三国山稜（みくにさんりょう）は、神奈川県・山梨県・静岡県の3県境にある三国山から富士山東麓の籠坂峠へ伸びる延長約7kmの尾根である。
http://www.wikidata.org/entity/Q11354736,三国岳（みくにだけ/さんごくだけ）は、滋賀県高島市・京都府南丹市・京都市にまたがる山である。
http://www.wikidata.org/entity/Q11354737,三国岳（みくにだけ）は、山形県飯豊町・福島県喜多方市・新潟県阿賀町にまたがる飯豊山地に属する山である。
http://www.wikidata.org/entity/Q11354741,三国峠（みくにとうげ）は、峠と呼ばれるが笹尾根にある標高960mの山。
http://www.wikidata.org/entity/Q11355124,"三宝山（さんぽうざん）は、埼玉県秩父市と長野県南佐久郡川上村の境にある標高2,483mの山で、奥秩父山域にある。"
http://www.wikidata.org/entity/Q11355135,三室山（みむろやま）とは、奈良県生駒郡斑鳩町神南4丁目にある標高82メートルの小さな山である。
http://www.wikidata.org/entity/Q11355196,三岳山（みたけさん）は、丹波高地の丹後山地に位置する山である。
